dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000200,0.020000,1.000000,50.000000,0.140475
0.020000,0.000000,0.000000,0.001000,0.060000,2.000000,50.000000,0.140442
0.020000,0.000000,0.000000,0.002600,0.100000,2.000000,0.000000,0.140377
0.020000,0.000541,0.000076,0.005000,0.140000,2.000000,0.000000,0.140279
0.020000,0.003710,0.000524,0.008200,0.180000,2.000000,-0.000000,0.140149
0.020000,0.007671,0.001082,0.012200,0.220000,2.000000,0.000000,0.139988
0.020000,0.012424,0.001751,0.017000,0.260000,2.000000,0.000000,0.139796
0.020000,0.017969,0.002531,0.022600,0.300000,2.000000,-0.000000,0.139574
0.020000,0.024307,0.003421,0.029000,0.340000,2.000000,0.000000,0.139323
0.020000,0.031437,0.004420,0.036200,0.380000,2.000000,-0.000000,0.139043
0.020000,0.039360,0.005527,0.044200,0.420000,2.000000,0.000000,0.138736
0.020000,0.048076,0.006743,0.053000,0.460000,2.000000,0.000000,0.138403
0.020000,0.057584,0.008065,0.062600,0.500000,2.000000,-0.000000,0.138046
0.020000,0.067886,0.009494,0.073000,0.540000,2.000000,0.000000,0.137666
0.020000,0.078980,0.011029,0.084200,0.580000,2.000000,-0.000000,0.137264
0.020000,0.090868,0.012669,0.096200,0.620000,2.000000,0.000000,0.136842
0.020000,0.103548,0.014412,0.109000,0.660000,2.000000,0.000000,0.136403
0.020000,0.117022,0.016258,0.122600,0.700000,2.000000,-0.000000,0.135947
0.020000,0.131290,0.018207,0.137000,0.740000,2.000000,0.000000,0.135478
0.020000,0.146351,0.020256,0.152200,0.780000,2.000000,0.000000,0.134997
0.020000,0.162206,0.022405,0.168200,0.820000,2.000000,-0.000000,0.134507
0.020000,0.178855,0.024654,0.185000,0.860000,2.000000,0.000000,0.134010
0.020000,0.196298,0.027001,0.202600,0.900000,2.000000,0.000000,0.133509
0.020000,0.214535,0.029446,0.221000,0.940000,2.000000,-0.000000,0.133006
0.020000,0.233566,0.031987,0.240200,0.980000,2.000000,0.000000,0.132504
0.020000,0.253391,0.034625,0.260200,1.020000,2.000000,0.000000,0.132007
0.020000,0.274011,0.037357,0.281000,1.060000,2.000000,0.000000,0.131517
0.020000,0.295425,0.040185,0.302600,1.100000,2.000000,0.000000,0.131037
0.020000,0.317634,0.043106,0.325000,1.140000,2.000000,-0.000000,0.130571
0.020000,0.340637,0.046122,0.348200,1.180000,2.000000,0.000000,0.130122
0.020000,0.364435,0.049231,0.372200,1.220000,2.000000,0.000000,0.129694
0.020000,0.389027,0.052433,0.397000,1.260000,2.000000,0.000000,0.129290
0.020000,0.414414,0.055729,0.422600,1.300000,2.000000,0.000000,0.128914
0.020000,0.440595,0.059118,0.449000,1.340000,2.000000,0.000000,0.128571
0.020000,0.467571,0.062601,0.476200,1.380000,2.000000,-0.000000,0.128263
0.020000,0.495342,0.066179,0.504200,1.420000,2.000000,0.000000,0.127995
0.020000,0.523907,0.069852,0.533000,1.460000,2.000000,0.000000,0.127771
0.020000,0.553266,0.073621,0.562600,1.500000,2.000000,0.000000,0.127597
0.020000,0.583419,0.077487,0.593000,1.540000,2.000000,0.000000,0.127476
0.020000,0.614366,0.081453,0.624200,1.580000,2.000000,0.000000,0.127412
0.020000,0.646107,0.085519,0.656200,1.620000,2.000000,0.000000,0.127411
0.020000,0.678641,0.089687,0.689000,1.660000,2.000000,-0.000000,0.127478
0.020000,0.711968,0.093961,0.722600,1.700000,2.000000,0.000000,0.127617
0.020000,0.746088,0.098343,0.757000,1.740000,2.000000,0.000000,0.127834
0.020000,0.781000,0.102835,0.792200,1.780000,2.000000,0.000000,0.128134
0.020000,0.816704,0.107442,0.828200,1.820000,2.000000,0.000000,0.128522
0.020000,0.853199,0.112167,0.865000,1.860000,2.000000,0.000000,0.129005
0.020000,0.890485,0.117015,0.902600,1.900000,2.000000,-0.000000,0.129586
0.020000,0.928562,0.121990,0.941000,1.940000,2.000000,0.000000,0.130273
0.020000,0.967427,0.127098,0.980200,1.980000,2.000000,0.000000,0.131072
0.020000,1.006884,0.132317,1.020000,2.000000,1.000000,-50.000000,0.131983
0.020000,1.046533,0.137601,1.060000,2.000000,0.000000,-50.000000,0.133001
0.020000,1.086177,0.142927,1.100000,2.000000,0.000000,0.000000,0.134121
0.020000,1.125815,0.148300,1.140000,2.000000,0.000000,0.000000,0.135344
0.020000,1.165445,0.153723,1.180000,2.000000,0.000000,0.000000,0.136669
0.020000,1.205068,0.159201,1.220000,2.000000,0.000000,0.000000,0.138098
0.020000,1.244683,0.164737,1.260000,2.000000,0.000000,0.000000,0.139630
0.020000,1.284290,0.170336,1.300000,2.000000,0.000000,0.000000,0.141264
0.020000,1.323886,0.176002,1.340000,2.000000,0.000000,0.000000,0.143003
0.020000,1.363473,0.181739,1.380000,2.000000,0.000000,0.000000,0.144845
0.020000,1.403048,0.187550,1.420000,2.000000,0.000000,0.000000,0.146791
0.020000,1.442612,0.193441,1.460000,2.000000,0.000000,0.000000,0.148841
0.020000,1.482163,0.199415,1.500000,2.000000,0.000000,0.000000,0.150995
0.020000,1.521702,0.205476,1.540000,2.000000,0.000000,0.000000,0.153254
0.020000,1.561226,0.211629,1.580000,2.000000,0.000000,0.000000,0.155617
0.020000,1.600735,0.217877,1.620000,2.000000,0.000000,0.000000,0.158086
0.020000,1.640228,0.224224,1.660000,2.000000,0.000000,0.000000,0.160660
0.020000,1.679704,0.230676,1.700000,2.000000,0.000000,0.000000,0.163339
0.020000,1.719163,0.237235,1.740000,2.000000,0.000000,0.000000,0.166124
0.020000,1.758602,0.243906,1.780000,2.000000,0.000000,0.000000,0.169014
0.020000,1.798022,0.250693,1.820000,2.000000,0.000000,0.000000,0.172011
0.020000,1.837421,0.257601,1.860000,2.000000,0.000000,0.000000,0.175114
0.020000,1.876798,0.264632,1.900000,2.000000,0.000000,0.000000,0.178324
0.020000,1.916152,0.271792,1.940000,2.000000,0.000000,0.000000,0.181640
0.020000,1.955482,0.279085,1.980000,2.000000,0.000000,0.000000,0.185064
0.020000,1.994786,0.286514,2.020000,2.000000,0.000000,0.000000,0.188594
0.020000,2.034063,0.294085,2.060000,2.000000,0.000000,0.000000,0.192231
0.020000,2.073312,0.301800,2.100000,2.000000,0.000000,0.000000,0.195976
0.020000,2.112531,0.309664,2.140000,2.000000,0.000000,0.000000,0.199829
0.020000,2.151719,0.317681,2.180000,2.000000,0.000000,0.000000,0.203788
0.020000,2.190875,0.325856,2.220000,2.000000,0.000000,0.000000,0.207856
0.020000,2.229997,0.334192,2.260000,2.000000,0.000000,0.000000,0.212031
0.020000,2.269083,0.342693,2.300000,2.000000,0.000000,0.000000,0.216314
0.020000,2.308132,0.351363,2.340000,2.000000,0.000000,0.000000,0.220704
0.020000,2.347142,0.360207,2.380000,2.000000,0.000000,0.000000,0.225202
