Delta Time, Position, Velocity, 
50, 0.000309, 0.012346, 
50, 0.001543, 0.037037, 
50, 0.004321, 0.074074, 
50, 0.009259, 0.123457, 
50, 0.016975, 0.185185, 
50, 0.028086, 0.259259, 
50, 0.043210, 0.345679, 
50, 0.062963, 0.444444, 
50, 0.087963, 0.555556, 
50, 0.118827, 0.679012, 
50, 0.156173, 0.814815, 
50, 0.200617, 0.962963, 
50, 0.252469, 1.111111, 
50, 0.311728, 1.259259, 
50, 0.378395, 1.407407, 
50, 0.452469, 1.555556, 
50, 0.533951, 1.703704, 
50, 0.622840, 1.851852, 
50, 0.719136, 2.000000, 
50, 0.822840, 2.148148, 
50, 0.933951, 2.296296, 
50, 1.052469, 2.444444, 
50, 1.178395, 2.592593, 
50, 1.311728, 2.740741, 
50, 1.452469, 2.888889, 
50, 1.600617, 3.037037, 
50, 1.756173, 3.185185, 
50, 1.918827, 3.320988, 
50, 2.087963, 3.444444, 
50, 2.262963, 3.555556, 
50, 2.443210, 3.654321, 
50, 2.628086, 3.740741, 
50, 2.816975, 3.814815, 
50, 3.009259, 3.876543, 
50, 3.204321, 3.925926, 
50, 3.401543, 3.962963, 
50, 3.600309, 3.987654, 
50, 3.800000, 4.000000, 
50, 4.000000, 4.000000, 
50, 4.200000, 4.000000, 
50, 4.400000, 4.000000, 
50, 4.600000, 4.000000, 
50, 4.800000, 4.000000, 
50, 5.000000, 4.000000, 
50, 5.200000, 4.000000, 
50, 5.400000, 4.000000, 
50, 5.600000, 4.000000, 
50, 5.800000, 4.000000, 
50, 6.000000, 4.000000, 
50, 6.200000, 4.000000, 
50, 6.400000, 4.000000, 
50, 6.600000, 4.000000, 
50, 6.800000, 4.000000, 
50, 7.000000, 4.000000, 
50, 7.200000, 4.000000, 
50, 7.400000, 4.000000, 
50, 7.600000, 4.000000, 
50, 7.800000, 4.000000, 
50, 8.000000, 4.000000, 
50, 8.200000, 4.000000, 
50, 8.400000, 4.000000, 
50, 8.600000, 4.000000, 
50, 8.800000, 4.000000, 
50, 9.000000, 4.000000, 
50, 9.200000, 4.000000, 
50, 9.400000, 4.000000, 
50, 9.600000, 4.000000, 
50, 9.800000, 4.000000, 
50, 10.000000, 4.000000, 
50, 10.200000, 4.000000, 
50, 10.400000, 4.000000, 
50, 10.600000, 4.000000, 
50, 10.800000, 4.000000, 
50, 11.000000, 4.000000, 
50, 11.200000, 4.000000, 
50, 11.400000, 4.000000, 
50, 11.600000, 4.000000, 
50, 11.800000, 4.000000, 
50, 12.000000, 4.000000, 
50, 12.200000, 4.000000, 
50, 12.400000, 4.000000, 
50, 12.600000, 4.000000, 
50, 12.800000, 4.000000, 
50, 13.000000, 4.000000, 
50, 13.200000, 4.000000, 
50, 13.400000, 4.000000, 
50, 13.600000, 4.000000, 
50, 13.800000, 4.000000, 
50, 14.000000, 4.000000, 
50, 14.200000, 4.000000, 
50, 14.400000, 4.000000, 
50, 14.600000, 4.000000, 
50, 14.800000, 4.000000, 
50, 15.000000, 4.000000, 
50, 15.200000, 4.000000, 
50, 15.400000, 4.000000, 
50, 15.600000, 4.000000, 
50, 15.800000, 4.000000, 
50, 16.000000, 4.000000, 
50, 16.200000, 4.000000, 
50, 16.400000, 4.000000, 
50, 16.600000, 4.000000, 
50, 16.800000, 4.000000, 
50, 17.000000, 4.000000, 
50, 17.200000, 4.000000, 
50, 17.400000, 4.000000, 
50, 17.600000, 4.000000, 
50, 17.800000, 4.000000, 
50, 18.000000, 4.000000, 
50, 18.200000, 4.000000, 
50, 18.400000, 4.000000, 
50, 18.600000, 4.000000, 
50, 18.800000, 4.000000, 
50, 19.000000, 4.000000, 
50, 19.200000, 4.000000, 
50, 19.400000, 4.000000, 
50, 19.600000, 4.000000, 
50, 19.800000, 4.000000, 
50, 20.000000, 4.000000, 
50, 20.200000, 4.000000, 
50, 20.400000, 4.000000, 
50, 20.600000, 4.000000, 
50, 20.800000, 4.000000, 
50, 21.000000, 4.000000, 
50, 21.200000, 4.000000, 
50, 21.400000, 4.000000, 
50, 21.600000, 4.000000, 
50, 21.800000, 4.000000, 
50, 22.000000, 4.000000, 
50, 22.200000, 4.000000, 
50, 22.400000, 4.000000, 
50, 22.600000, 4.000000, 
50, 22.800000, 4.000000, 
50, 23.000000, 4.000000, 
50, 23.200000, 4.000000, 
50, 23.400000, 4.000000, 
50, 23.600000, 4.000000, 
50, 23.800000, 4.000000, 
50, 24.000000, 4.000000, 
50, 24.200000, 4.000000, 
50, 24.400000, 4.000000, 
50, 24.600000, 4.000000, 
50, 24.799921, 3.996859, 
50, 24.999377, 3.981372, 
50, 25.197750, 3.953540, 
50, 25.394423, 3.913362, 
50, 25.588778, 3.860838, 
50, 25.780198, 3.795969, 
50, 25.968066, 3.718753, 
50, 26.151764, 3.629193, 
50, 26.330676, 3.527286, 
50, 26.504184, 3.413034, 
50, 26.671671, 3.286436, 
50, 26.832519, 3.147493, 
50, 26.986190, 2.999344, 
50, 27.132454, 2.851196, 
50, 27.271310, 2.703048, 
50, 27.402759, 2.554900, 
50, 27.526800, 2.406752, 
50, 27.643434, 2.258604, 
50, 27.752660, 2.110456, 
50, 27.854479, 1.962307, 
50, 27.948891, 1.814159, 
50, 28.035895, 1.666011, 
50, 28.115492, 1.517863, 
50, 28.187682, 1.369715, 
50, 28.252464, 1.221567, 
50, 28.309838, 1.073419, 
50, 28.359806, 0.925270, 
50, 28.402444, 0.780263, 
50, 28.438140, 0.647602, 
50, 28.467513, 0.527286, 
50, 28.491178, 0.419316, 
50, 28.509753, 0.323692, 
50, 28.523856, 0.240413, 
50, 28.534103, 0.169480, 
50, 28.541112, 0.110893, 
50, 28.545501, 0.064651, 
50, 28.547886, 0.030755, 
50, 28.548885, 0.009205, 
50, 28.549115, 0.000000, 
50, 28.549115, 0.000000, 
