dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.877191,3.423943,0.000200,0.020000,1.000000,50.000000,4.713703
0.020000,7.877191,3.423932,0.000211,0.000559,-0.972043,-98.602167,4.713629
0.020000,7.877191,3.423909,0.000234,0.001119,0.027989,50.001603,4.713480
0.020000,7.877191,3.423876,0.000267,0.001680,0.028053,0.003210,4.713256
0.020000,7.877191,3.423831,0.000312,0.002243,0.028149,0.004825,4.712957
0.020000,7.877191,3.423775,0.000368,0.002809,0.028279,0.006453,4.712582
0.020000,7.877191,3.420963,0.003180,0.140586,6.888896,343.030857,4.712131
0.020000,7.877188,3.415281,0.008862,0.284091,7.175222,14.316304,4.711604
0.020000,7.877181,3.408797,0.015346,0.324222,2.006547,-258.433757,4.710998
0.020000,7.877168,3.401488,0.022656,0.365467,2.062248,2.785057,4.710313
0.020000,7.877148,3.393377,0.030766,0.405511,2.002189,-3.002949,4.709547
0.020000,7.877119,3.384447,0.039696,0.446511,2.050018,2.391476,4.708699
0.020000,7.877078,3.374706,0.049437,0.487060,2.027453,-1.128278,4.707767
0.020000,7.877024,3.364157,0.059986,0.527460,2.020023,-0.371506,4.706750
0.020000,7.876954,3.352794,0.071349,0.568151,2.034537,0.725709,4.705645
0.020000,7.876865,3.340612,0.083532,0.609129,2.048883,0.717336,4.704449
0.020000,7.876753,3.327618,0.096526,0.649725,2.029791,-0.954607,4.703161
0.020000,7.876616,3.313811,0.110334,0.690384,2.032975,0.159168,4.701778
0.020000,7.876450,3.299190,0.124956,0.731075,2.034529,0.077694,4.700296
0.020000,7.876251,3.283756,0.140391,0.771763,2.034402,-0.006332,4.698714
0.020000,7.876015,3.267507,0.156642,0.812576,2.040659,0.312863,4.697026
0.020000,7.875738,3.250435,0.173717,0.853711,2.056751,0.804578,4.695229
0.020000,7.875414,3.232550,0.191604,0.894372,2.033077,-1.183703,4.693318
0.020000,7.875038,3.213856,0.210302,0.934887,2.025715,-0.368080,4.691292
0.020000,7.874605,3.194332,0.229831,0.976445,2.077917,2.610079,4.689141
0.020000,7.874110,3.174002,0.250167,1.016828,2.019120,-2.939813,4.686863
0.020000,7.873544,3.152842,0.271334,1.058355,2.076354,2.861697,4.684451
0.020000,7.872902,3.130872,0.293314,1.098969,2.030738,-2.280838,4.681899
0.020000,7.872176,3.108080,0.316117,1.140185,2.060800,1.503105,4.679200
0.020000,7.871358,3.084463,0.339749,1.181571,2.069265,0.423254,4.676345
0.020000,7.870440,3.060026,0.364202,1.222671,2.055042,-0.711150,4.673328
0.020000,7.869413,3.034769,0.389481,1.263920,2.062428,0.369293,4.670139
0.020000,7.868267,3.008689,0.415586,1.305268,2.067386,0.247898,4.666769
0.020000,7.866991,2.981786,0.442519,1.346663,2.069762,0.118835,4.663206
0.020000,7.865574,2.954061,0.470280,1.388051,2.069402,-0.018028,4.659439
0.020000,7.864004,2.925503,0.498881,1.430057,2.100312,1.545500,4.655453
0.020000,7.862267,2.896120,0.528315,1.471690,2.081632,-0.933985,4.651236
0.020000,7.860350,2.865915,0.558581,1.513305,2.080746,-0.044306,4.646773
0.020000,7.858237,2.834875,0.589693,1.555588,2.114177,1.671545,4.642044
0.020000,7.855912,2.803007,0.621646,1.597642,2.102683,-0.574700,4.637032
0.020000,7.853356,2.770311,0.654441,1.639766,2.106197,0.175696,4.631714
0.020000,7.850551,2.736783,0.688086,1.682252,2.124320,0.906147,4.626068
0.020000,7.847474,2.702420,0.722587,1.725026,2.138688,0.718421,4.620066
0.020000,7.844102,2.667221,0.757947,1.768005,2.148941,0.512664,4.613680
0.020000,7.840411,2.631188,0.794169,1.811099,2.154712,0.288554,4.606875
0.020000,7.836372,2.594324,0.831253,1.854212,2.155633,0.046025,4.599617
0.020000,7.831955,2.556615,0.869221,1.898378,2.208303,2.633507,4.591860
0.020000,7.827126,2.518075,0.908061,1.942033,2.182756,-1.277372,4.583560
0.020000,7.821847,2.478693,0.947796,1.986727,2.234706,2.597497,4.574662
0.020000,7.816078,2.438471,0.988430,2.031707,2.248982,0.713812,4.565103
0.020000,7.809805,2.397617,1.029763,2.066628,1.746074,-25.145396,4.554869
0.020000,7.803052,2.356534,1.071397,2.081714,0.754296,-49.588875,4.543996
0.020000,7.795824,2.315436,1.113125,2.086417,0.235134,-25.958133,4.532485
0.020000,7.788091,2.274331,1.154951,2.091306,0.244457,0.466158,4.520279
0.020000,7.779817,2.233205,1.196901,2.097484,0.308920,3.223142,4.507307
0.020000,7.770969,2.192080,1.238967,2.103316,0.291571,-0.867459,4.493502
0.020000,7.761504,2.150945,1.281177,2.110498,0.359105,3.376743,4.478776
0.020000,7.751377,2.109812,1.323539,2.118076,0.378924,0.990933,4.463039
0.020000,7.740539,2.068689,1.366066,2.126370,0.414699,1.788770,4.446185
0.020000,7.728935,2.027584,1.408777,2.135556,0.459294,2.229729,4.428097
0.020000,7.716502,1.986508,1.451694,2.145837,0.514061,2.738333,4.408638
0.020000,7.703170,1.945469,1.494844,2.157480,0.582140,3.403962,4.387655
0.020000,7.688864,1.904498,1.538241,2.169865,0.619225,1.854232,4.364982
0.020000,7.673495,1.863609,1.581923,2.184105,0.712020,4.639775,4.340421
0.020000,7.656965,1.822833,1.625922,2.199950,0.792242,4.011118,4.313755
0.020000,7.639167,1.782212,1.670271,2.217460,0.875502,4.162985,4.284742
0.020000,7.619976,1.741790,1.715018,2.237312,0.992582,5.854008,4.253109
0.020000,7.599263,1.701644,1.760192,2.258731,1.070970,3.919372,4.218571
0.020000,7.576873,1.661846,1.805856,2.283167,1.221777,7.540337,4.180805
0.020000,7.552652,1.622514,1.852048,2.309607,1.322002,5.011272,4.139494
