dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.577191,3.423549,0.000200,0.020000,1.000000,50.000000,4.713703
0.020000,7.577191,3.423560,0.000211,0.000559,-0.972043,-98.602167,4.713629
0.020000,7.577191,3.423582,0.000234,0.001119,0.027989,50.001603,4.713480
0.020000,7.577191,3.423616,0.000267,0.001680,0.028053,0.003210,4.713256
0.020000,7.577191,3.423661,0.000312,0.002243,0.028149,0.004825,4.712957
0.020000,7.577191,3.423717,0.000368,0.002809,0.028279,0.006453,4.712582
0.020000,7.577191,3.421040,0.003045,0.133824,6.550749,326.123546,4.712131
0.020000,7.577188,3.415517,0.008568,0.276174,7.117516,28.338325,4.711604
0.020000,7.577181,3.409214,0.014871,0.315145,1.948535,-258.449028,4.710998
0.020000,7.577169,3.402110,0.021975,0.355181,2.001815,2.664005,4.710313
0.020000,7.577149,3.394230,0.029855,0.394030,1.942466,-2.967493,4.709547
0.020000,7.577121,3.385554,0.038531,0.433787,1.987837,2.268553,4.708699
0.020000,7.577082,3.376093,0.047993,0.473080,1.964671,-1.158264,4.707767
0.020000,7.577029,3.365849,0.058237,0.512202,1.956083,-0.429423,4.706750
0.020000,7.576961,3.354817,0.069268,0.551575,1.968659,0.628782,4.705645
0.020000,7.576874,3.342994,0.081092,0.591193,1.980903,0.612245,4.704449
0.020000,7.576766,3.330386,0.093700,0.630404,1.960528,-1.018750,4.703161
0.020000,7.576633,3.316994,0.107093,0.669636,1.961606,0.053853,4.701778
0.020000,7.576472,3.302818,0.121270,0.708854,1.960914,-0.034562,4.700296
0.020000,7.576279,3.287859,0.136230,0.748022,1.958395,-0.125974,4.698714
0.020000,7.576051,3.272115,0.151975,0.787259,1.961847,0.172627,4.697026
0.020000,7.575782,3.255583,0.168511,0.826751,1.974583,0.636767,4.695229
0.020000,7.575468,3.238271,0.185825,0.865722,1.948559,-1.301198,4.693318
0.020000,7.575105,3.220185,0.203915,0.904484,1.938090,-0.523413,4.691292
0.020000,7.574686,3.201306,0.222798,0.944182,1.984930,2.341967,4.689141
0.020000,7.574207,3.181658,0.242452,0.982664,1.924102,-3.041379,4.686863
0.020000,7.573661,3.161222,0.262895,1.022166,1.975096,2.549694,4.684451
0.020000,7.573041,3.140018,0.284109,1.060693,1.926338,-2.437917,4.681899
0.020000,7.572341,3.118035,0.306103,1.099698,1.950256,1.195888,4.679200
0.020000,7.571553,3.095273,0.328878,1.138755,1.952833,0.128861,4.676345
0.020000,7.570669,3.071742,0.352426,1.177416,1.933047,-0.989305,4.673328
0.020000,7.569681,3.047440,0.376748,1.216087,1.933541,0.024719,4.670139
0.020000,7.568579,3.022370,0.401842,1.254708,1.931073,-0.123388,4.666769
